category,count
audio,51
audio_music_or_ambient,4
background,216
binary_or_tool,8
font,273
image_uncategorized,8525
license_or_readme,148
map_or_tileset_data,344
metadata,43
model_3d,553
nested_archive,17
portrait,479
source_art,1016
sprite_or_character,2209
tileset,4495
ui,1222
vfx,626
