"PluginKey","CandidatePathRel","CandidateSha256","CandidateScore","Selected","ConflictType"
"Synrec_MenuBuilder","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/Menu Builder/Menu Builder_sample_en/js/plugins/Synrec_MenuBuilder.js","6c45d1367a13e2d1a66088d2fd0bf3c5de7d876ae9abb1df749ae4c88899fa05","103","True","duplicate-copy"
"Synrec_MenuBuilder","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/Menu Builder/Menu Builder_sample_jp/js/plugins/Synrec_MenuBuilder.js","6c45d1367a13e2d1a66088d2fd0bf3c5de7d876ae9abb1df749ae4c88899fa05","-17","False","duplicate-copy"
"Synrec_Preloader","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/Menu Builder/Menu Builder_sample_en/js/plugins/Synrec_Preloader.js","30771ccbd3d9f1726e72bbe08bbb9c854c60609bbc7392fee63a2eef912164ac","103","True","duplicate-copy"
"Synrec_Preloader","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/Menu Builder/Menu Builder_sample_jp/js/plugins/Synrec_Preloader.js","30771ccbd3d9f1726e72bbe08bbb9c854c60609bbc7392fee63a2eef912164ac","-17","False","duplicate-copy"
"TextPicture","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/3D Particle Effect Pack/sample_project_en/js/plugins/TextPicture.js","0f0e73b99a1ee7133cd527e26f2a12a62a03f301945c96d0b272332660dca9e1","88","False","conflict"
"TextPicture","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/3D Particle Effect Pack/sample_project_jp/js/plugins/TextPicture.js","0f0e73b99a1ee7133cd527e26f2a12a62a03f301945c96d0b272332660dca9e1","-32","False","conflict"
"TextPicture","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/Menu Builder/Menu Builder_sample_en/js/plugins/TextPicture.js","0f0e73b99a1ee7133cd527e26f2a12a62a03f301945c96d0b272332660dca9e1","103","True","conflict"
"TextPicture","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/Menu Builder/Menu Builder_sample_jp/js/plugins/TextPicture.js","0f0e73b99a1ee7133cd527e26f2a12a62a03f301945c96d0b272332660dca9e1","-17","False","conflict"
"TextPicture","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/MV Trinity Resource Pack/samplemap_en/js/plugins/TextPicture.js","0ae5356bad6389aa1d65854b8718d29ec21579451ac2ccacd9d1d218b0a9128e","-17","False","conflict"
"TextPicture","imports/raw/third_party_assets/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/MV Trinity Resource Pack/samplemap_ja/js/plugins/TextPicture.js","0ae5356bad6389aa1d65854b8718d29ec21579451ac2ccacd9d1d218b0a9128e","-37","False","conflict"
