path,bytes,sha256,extension,license_status,license_evidence,technical_status,width,height
itch/loose/base_staff_mv.png,24453,bef1c291b826cca5e9dd4e7133c688d07885ced9dc952f97790343e93f3c40a9,png,covered_by_folder_license,itch/loose/license.txt,ok_png,1296,864
itch/loose/base_sword_mv.png,23937,b2b0121014a5c50387c0e58f65da660d56a0561911324b53ea528e141fd2ed57,png,covered_by_folder_license,itch/loose/license.txt,ok_png,1296,864
itch/loose/bat_elf-1_5_sheet_3x.png,29154,e2e1a79f278f2eeadc473b0acb8f9e66cd7033d262487e7f82094ecdfec8ece7,png,covered_by_folder_license,itch/loose/license.txt,ok_png,1296,864
itch/loose/bathroom_3.png,3973,164b077e1efb904ea87b57205b50d649d9e27e6e3565456955a59c287752693b,png,covered_by_folder_license,itch/loose/license.txt,ok_png,240,192
itch/loose/bathroom_more_3x.png,4913,d2bbe6917e20d08e265f8c9f8000ba5c0d0e999a1a7c01eb0a392b6451e1b309,png,covered_by_folder_license,itch/loose/license.txt,ok_png,384,192
itch/loose/bathroom_sinks_char_3x.png,1731,fadab14728235b13b6ecd62d8f1549af11cae67e8c9efb2dc6ae778b4f89a27a,png,covered_by_folder_license,itch/loose/license.txt,ok_png,144,192
itch/loose/bathroom_tub_char_3x.png,2139,6bc068ae84bf06d07a113f73bfbe1e69709c2e4fa361a0edd9ff9d28989fdd1d,png,covered_by_folder_license,itch/loose/license.txt,ok_png,144,192
itch/loose/beekeeper_3.png,7223,e421b9b2aa463a7f9c5b9c357d7ccab1c542c1a404a7ffa74c5dd078750dfbe9,png,covered_by_folder_license,itch/loose/license.txt,ok_png,234,432
itch/loose/bellydancers_3.png,11321,ddfbdd59878e05a3febba64a9d82cd833f606e58711ce40176fcf94eebe44c3c,png,covered_by_folder_license,itch/loose/license.txt,ok_png,414,576
itch/loose/berribushes_3.png,3859,bb593748451bde8e1f70f59de5fc590ad7d3b6dc3b2f6da459c00c77787e56ad,png,covered_by_folder_license,itch/loose/license.txt,ok_png,144,192
itch/loose/bigbeetlesheet_3.png,26110,7d7850a30200a9b3586b13073b42319427b4d45474970bcd3e7786b1609b8e70,png,covered_by_folder_license,itch/loose/license.txt,ok_png,1116,864
itch/loose/bigskullA_3.png,4728,36260aae61871172cd315857fde05f23588025843dc28d4f24d443b52bba56e6,png,covered_by_folder_license,itch/loose/license.txt,ok_png,288,576
itch/loose/bigskullB_3.png,5106,47309bda7518c02e9a826625114363315d251a32d86bdc9c19a3d43a718481a4,png,covered_by_folder_license,itch/loose/license.txt,ok_png,288,576
itch/loose/bigskullC_3.png,7819,510f740683d2ac03d1e96feeb1e7d74cd9f7e3623340912c944b5c118e22dbaf,png,covered_by_folder_license,itch/loose/license.txt,ok_png,288,576
itch/loose/bigskullD_3.png,8371,00715c79ba07641419f97241967391f6b8eb4f719a305baa9c6942237c19b507,png,covered_by_folder_license,itch/loose/license.txt,ok_png,288,576
itch/loose/bikinibabes_3.png,19234,c988a44099ec78979dbfc6e86ca410c5cbc63d848ffbf17889074772d33e3306,png,covered_by_folder_license,itch/loose/license.txt,ok_png,936,864
itch/loose/birds_sitting_3.png,13012,9a0fccdac574cf6465fde4455aa546fa527ef143f1650bcdb3395ca58fc98e04,png,covered_by_folder_license,itch/loose/license.txt,ok_png,1512,864
itch/loose/blacksmith_updated_3.png,36540,8506f0eea0eed3b3906d0428ef30d060005206e7beeacc8583f91fb5cbe0574a,png,covered_by_folder_license,itch/loose/license.txt,ok_png,1368,864
itch/loose/blackswordsman_3x.png,17315,8d9fe41853f19b9b8de6e0fdb4d24e767ac60578ef9182b92b6a7a109cfff715,png,covered_by_folder_license,itch/loose/license.txt,ok_png,936,864
itch/loose/blockingspikes_3.png,6610,663e26d749ea79af368ddc7f8a8961483d6adc867c9a7e8b2e0cfc7a3d700448,png,covered_by_folder_license,itch/loose/license.txt,ok_png,576,768
itch/loose/blood3.png,1993,5f9aa96475efcb5de2e9c7ca1c20064ba5b4579d6d1a93a558a49ba2ca5c5dc1,png,covered_by_folder_license,itch/loose/license.txt,ok_png,384,96
itch/loose/bobber_3x.png,993,d466bc3152d80eb5bc7145640f70e107b8e58cd26817e73e8247f714c2f242de,png,covered_by_folder_license,itch/loose/license.txt,ok_png,240,96
itch/loose/bossplant_3.png,21841,05776f78ba584d52678b99de216d2243efed9993ae62cfde0151992c344ffd24,png,covered_by_folder_license,itch/loose/license.txt,ok_png,864,768
itch/loose/bossplant_tentable_A_3x.png,7212,5dc84d010639c24b24311ca94980bd043e6718c8d8aadd62f9df201b94c3e377,png,covered_by_folder_license,itch/loose/license.txt,ok_png,432,768
itch/loose/bossplant_tentable_B_3x.png,7798,f95dc1f574915166dcd38febeb34447abb220b0bd75f1d9e9ccbf9ef0ca6e91c,png,covered_by_folder_license,itch/loose/license.txt,ok_png,432,768
itch/loose/bossplant_tentable_C_3x.png,7673,1edef89fd935dec0e2c0c58a07d90c1589c9fc1f6501b7778def20e711015ae5,png,covered_by_folder_license,itch/loose/license.txt,ok_png,432,768
itch/loose/brokenbridge_3.png,11766,bfdfa22cff244493ab5c249b7176f5b55d69db12034e637d57e3f37e736a5af7,png,covered_by_folder_license,itch/loose/license.txt,ok_png,528,384
itch/loose/bubblebath_tiles_3.png,5965,d17dedd63174703dcb82630605331312c7734cbdeda30e6769995cc13f95f458,png,covered_by_folder_license,itch/loose/license.txt,ok_png,288,192
itch/loose/bushbaby_3x.png,5689,b7f8650027688077482116f82570d5e1eff6a72432ac463274e0ccfac7924b04,png,covered_by_folder_license,itch/loose/license.txt,ok_png,378,432
