archive,archive_sha256,archive_bytes,scan_status,license_entry_count,license_entries,license_snippets,all_entry_count,error_tail
more assets to ingest/foozle/Lucifer/Lucifer Skeleton King Boss/Lucifer Skeleton King Boss.zip,0d76669aba19736dba16f37b9ee0053095157335d0b7339ca54c4cc3b040d5bb,4927720,license_evidence_found,1,Foozle_2DC0021_Lucifer_Skeleton_King_Pixel_Art\Readme.txt,"Foozle_2DC0021_Lucifer_Skeleton_King_Pixel_Art\Readme.txt: ------------------------------ Lucifer Skeleton King Boss (1.0) Commissioned from: Baldur (https://twitter.com/the__baldur) Distributed by Foozle (www.foozle.io) ------------------------------ License: (Creative Commons Zero, CC0) http://creativecommons.org/publicdomain/zero/1.0/ This content is free to use and modify for all projects, including commercial projects. Attribution not required. If you would like to support, consider a voluntary donation. ------------------------------ Donate: https://foozlecc.itch.io/ Patreon: https://www.patreon.com/bePatron?u=48464594 Follow on YouTube and Twitter for updates: https://www.youtube.com/c/FoozleCC http://twitter.com/FoozleCC",76,
more assets to ingest/foozle/Lucifer/Lucifer Sorceress/Lucifer Sorceress.zip,c91a5f09347d616f9b4113ce90eef19ccca8e4851489e1497a7438c5814d5a95,1760391,license_evidence_found,1,Foozle_2DC0011_Lucifer_Sorceress_Pixel_Art\Readme.txt,"Foozle_2DC0011_Lucifer_Sorceress_Pixel_Art\Readme.txt: ------------------------------ Lucifer Sorceress (1.0) Commissioned from: Baldur (https://twitter.com/the__baldur) Distributed by Foozle (www.foozle.io) ------------------------------ License: (Creative Commons Zero, CC0) http://creativecommons.org/publicdomain/zero/1.0/ This content is free to use and modify for all projects, including commercial projects. Attribution not required. If you would like to support, consider a voluntary donation. ------------------------------ Donate: https://foozlecc.itch.io/ Patreon: https://www.patreon.com/bePatron?u=48464594 Follow on YouTube and Twitter for updates: https://www.youtube.com/c/FoozleCC http://twitter.com/FoozleCC",84,
more assets to ingest/foozle/Lucifer/Lucifer Warrior/Lucifer Warrior.zip,d0373c9c2c29b114b12da0cb113ed66f6c422079761110c90cbaf84fc1e3f250,1892406,license_evidence_found,1,Foozle_2DC0009_Lucifer_Warrior_Pixel_Art\Readme.txt,"Foozle_2DC0009_Lucifer_Warrior_Pixel_Art\Readme.txt: ------------------------------ Lucifer Warrior (1.0) Commissioned from: Baldur (https://twitter.com/the__baldur) Distributed by Foozle (www.foozle.io) ------------------------------ License: (Creative Commons Zero, CC0) http://creativecommons.org/publicdomain/zero/1.0/ This content is free to use and modify for all projects, including commercial projects. Attribution not required. If you would like to support, consider a voluntary donation. ------------------------------ Donate: https://foozlecc.itch.io/ Patreon: https://www.patreon.com/bePatron?u=48464594 Follow on YouTube and Twitter for updates: https://www.youtube.com/c/FoozleCC http://twitter.com/FoozleCC",84,
more assets to ingest/foozle/Pointy Hat Mage/Pointy Hat Mage.zip,a69279af08c0e2fd5f03ce0e8beb63c987668239a27353a536f2dea2a1978d43,391796,license_evidence_found,1,Foozle_2DC0004_Pointy_Hat_Mage\Readme.txt,"Foozle_2DC0004_Pointy_Hat_Mage\Readme.txt: ------------------------------ Pointy Hat Mage (1.0) Commissioned from: michael_araya (https://www.fiverr.com/michael_araya) Distributed by Foozle (www.foozle.io) ------------------------------ License: (Creative Commons Zero, CC0) http://creativecommons.org/publicdomain/zero/1.0/ This content is free to use and modify for all projects, including commercial projects. Attribution not required. If you would like to support, consider a voluntary donation. ------------------------------ Donate: https://foozlecc.itch.io/ Patreon: https://www.patreon.com/bePatron?u=48464594 Follow on YouTube and Twitter for updates: https://www.youtube.com/c/FoozleCC http://twitter.com/FoozleCC",62,
more assets to ingest/foozle/Purple Mage/Purple Mage.zip,a184cac98c0beee642beb299c69000e7f2d3632a106d00bf045019408ca0cfde,160587,license_evidence_found,1,Foozle_2DC0005_Purple_Mage\Readme.txt,"Foozle_2DC0005_Purple_Mage\Readme.txt: ------------------------------ Purple Mage (1.0) Commissioned from: reimonkey (https://www.fiverr.com/reimonkey) Distributed by Foozle (www.foozle.io) ------------------------------ License: (Creative Commons Zero, CC0) http://creativecommons.org/publicdomain/zero/1.0/ This content is free to use and modify for all projects, including commercial projects. Attribution not required. If you would like to support, consider a voluntary donation. ------------------------------ Donate: https://foozlecc.itch.io/ Patreon: https://www.patreon.com/bePatron?u=48464594 Follow on YouTube and Twitter for updates: https://www.youtube.com/c/FoozleCC http://twitter.com/FoozleCC",20,
more assets to ingest/foozle/Sci-fi Lab Assets/Sci-fi Lab Assets.zip,fce942e893ffeecadfc7e24154024d0993e637531155a2534dd33f4e01adc71b,455687,license_evidence_found,1,Foozle_2DT0001_Science_Fiction_Labs_Tileset\Readme.txt,"Foozle_2DT0001_Science_Fiction_Labs_Tileset\Readme.txt: ------------------------------ Sci-Fi Labs Tileset (1.0) Commissioned from: aimen23b (https://www.fiverr.com/aimen23b) Distributed by Foozle (www.foozle.io) ------------------------------ License: (Creative Commons Zero, CC0) http://creativecommons.org/publicdomain/zero/1.0/ This content is free to use and modify for all projects, including commercial projects. Attribution not required. If you would like to support, consider a voluntary donation. ------------------------------ Donate: https://foozlecc.itch.io/ Patreon: https://www.patreon.com/bePatron?u=48464594 Follow on YouTube and Twitter for updates: https://www.youtube.com/c/FoozleCC http://twitter.com/FoozleCC",449,
more assets to ingest/foozle/Sci-fi Lab Assets/Sci-Fi Lab Droids.zip,d3b21180c6bec2300a5cf8c73790c594958e6d61b4c4bb7cf22d70c777a8b840,723701,license_evidence_found,1,Foozle_2DC0006_Sci_Fi_Lab_Droids_Pack\Readme.txt,"Foozle_2DC0006_Sci_Fi_Lab_Droids_Pack\Readme.txt: ------------------------------ Sci-Fi Lab Droids (1.0) Commissioned from: Baldur (https://twitter.com/the__baldur) Distributed by Foozle (www.foozle.io) ------------------------------ License: (Creative Commons Zero, CC0) http://creativecommons.org/publicdomain/zero/1.0/ This content is free to use and modify for all projects, including commercial projects. Attribution not required. If you would like to support, consider a voluntary donation. ------------------------------ Donate: https://foozlecc.itch.io/ Patreon: https://www.patreon.com/bePatron?u=48464594 Follow on YouTube and Twitter for updates: https://www.youtube.com/c/FoozleCC http://twitter.com/FoozleCC",53,
more assets to ingest/foozle/Sci-fi Lab Assets/Sci-Fi Labs Cyborg Platformer.zip,f5d50124a18f059db8301e71a69bc09b127e193dce701672ba37984f57565063,32731,license_evidence_found,1,Foozle_2DC0007_Science_Fiction_Labs_Cyborg_Platformer\Readme.txt,"Foozle_2DC0007_Science_Fiction_Labs_Cyborg_Platformer\Readme.txt: ------------------------------ Sci-Fi Labs Cyborg Platformer (1.0) Commissioned from: aimen23b (https://www.fiverr.com/aimen23b) Distributed by Foozle (www.foozle.io) ------------------------------ License: (Creative Commons Zero, CC0) http://creativecommons.org/publicdomain/zero/1.0/ This content is free to use and modify for all projects, including commercial projects. Attribution not required. If you would like to support, consider a voluntary donation. ------------------------------ Donate: https://foozlecc.itch.io/ Patreon: https://www.patreon.com/bePatron?u=48464594 Follow on YouTube and Twitter for updates: https://www.youtube.com/c/FoozleCC http://twitter.com/FoozleCC",11,
more assets to ingest/foozle/Sci-fi Lab Assets/Sci-Fi Labs Mecha Boss and Exploding Drone.zip,ad755ac11d83a99ecf2a14ef8fbcf1168abccb60f1be9a5cb129afa01fe1456d,98871,license_evidence_found,1,Foozle_2DC0008_Sci_Fi_Lab_Mecha_Boss_Plus_Drone\Readme.txt,"Foozle_2DC0008_Sci_Fi_Lab_Mecha_Boss_Plus_Drone\Readme.txt: ------------------------------ Sci-Fi Labs Mecha Boss and Exploding Drone (1.0) Commissioned from: aimen23b (https://www.fiverr.com/aimen23b) Distributed by Foozle (www.foozle.io) ------------------------------ License: (Creative Commons Zero, CC0) http://creativecommons.org/publicdomain/zero/1.0/ This content is free to use and modify for all projects, including commercial projects. Attribution not required. If you would like to support, consider a voluntary donation. ------------------------------ Donate: https://foozlecc.itch.io/ Patreon: https://www.patreon.com/bePatron?u=48464594 Follow on YouTube and Twitter for updates: https://www.youtube.com/c/FoozleCC http://twitter.com/FoozleCC",16,
more assets to ingest/foozle/Sci-fi Lab Assets/Sci-Fi Labs Pickups.zip,2823b1ebe5dcf8778ddaba1dad884a0c1d20371957552a374887c6feb0c2c95b,41081,license_evidence_found,1,Foozle_2DS0011_Science_Fiction_Labs_Pickups\Readme.txt,"Foozle_2DS0011_Science_Fiction_Labs_Pickups\Readme.txt: ------------------------------ Sci-Fi Labs Pickups (1.0) Commissioned from: aimen23b (https://www.fiverr.com/aimen23b) Distributed by Foozle (www.foozle.io) ------------------------------ License: (Creative Commons Zero, CC0) http://creativecommons.org/publicdomain/zero/1.0/ This content is free to use and modify for all projects, including commercial projects. Attribution not required. If you would like to support, consider a voluntary donation. ------------------------------ Donate: https://foozlecc.itch.io/ Patreon: https://www.patreon.com/bePatron?u=48464594 Follow on YouTube and Twitter for updates: https://www.youtube.com/c/FoozleCC http://twitter.com/FoozleCC",58,
more assets to ingest/foozle/Void - Environment Pack/Void - Environment Pack.zip,33464a36feb1d60bddcb9894c4a61e384686e2bd3186ee144bd06d7eba003f45,1708423,license_evidence_found,1,Foozle_2DS0015_Void_EnvironmentPack\Readme.txt,"Foozle_2DS0015_Void_EnvironmentPack\Readme.txt: ------------------------------ Void - Environment Pack (1.0) Commissioned from: Baldur (https://twitter.com/the__baldur) Distributed by Foozle (www.foozle.io) ------------------------------ License: (Creative Commons Zero, CC0) http://creativecommons.org/publicdomain/zero/1.0/ This content is free to use and modify for all projects, including commercial projects. Attribution not required. If you would like to support, consider a voluntary donation. ------------------------------ Donate: https://foozlecc.itch.io/ Patreon: https://www.patreon.com/bePatron?u=48464594 Follow on YouTube and Twitter for updates: https://www.youtube.com/c/FoozleCC http://twitter.com/FoozleCC",25,
more assets to ingest/foozle/Void - Fleet Pack 1/Void - Fleet Pack 1.zip,c08ec56ea6250fab488bcf9a253d0cc8dbea2054c18b7ca4ca07aca9acb33764,3123286,license_evidence_found,1,Foozle_2DS0012_Void_EnemyFleet_1\Readme.txt,"Foozle_2DS0012_Void_EnemyFleet_1\Readme.txt: ------------------------------ Void - Fleet Pack 1 (1.0) Commissioned from: Baldur (https://twitter.com/the__baldur) Distributed by Foozle (www.foozle.io) ------------------------------ License: (Creative Commons Zero, CC0) http://creativecommons.org/publicdomain/zero/1.0/ This content is free to use and modify for all projects, including commercial projects. Attribution not required. If you would like to support, consider a voluntary donation. ------------------------------ Donate: https://foozlecc.itch.io/ Patreon: https://www.patreon.com/bePatron?u=48464594 Follow on YouTube and Twitter for updates: https://www.youtube.com/c/FoozleCC http://twitter.com/FoozleCC",130,
more assets to ingest/foozle/Void - Fleet Pack 2/Void - Fleet Pack 2.zip,cc5a74acce2413bf40bddec4e95230ca1b28bb78f288e4372762e8804f4a4d88,2213938,license_evidence_found,1,Foozle_2DS0013_Void_EnemyFleet_2\Readme.txt,"Foozle_2DS0013_Void_EnemyFleet_2\Readme.txt: ------------------------------ Void - Fleet Pack 2 (1.0) Commissioned from: Baldur (https://twitter.com/the__baldur) Distributed by Foozle (www.foozle.io) ------------------------------ License: (Creative Commons Zero, CC0) http://creativecommons.org/publicdomain/zero/1.0/ This content is free to use and modify for all projects, including commercial projects. Attribution not required. If you would like to support, consider a voluntary donation. ------------------------------ Donate: https://foozlecc.itch.io/ Patreon: https://www.patreon.com/bePatron?u=48464594 Follow on YouTube and Twitter for updates: https://www.youtube.com/c/FoozleCC http://twitter.com/FoozleCC",127,
more assets to ingest/foozle/Void - Fleet Pack 3/Void - Fleet Pack 3 - Nautolan.zip,c300e1f740709242f5805f225fd2556fd0b53f7eda82271d14b53ffd32944880,2178453,license_evidence_found,1,Foozle_2DS0014_Void_EnemyFleet_3\Readme.txt,"Foozle_2DS0014_Void_EnemyFleet_3\Readme.txt: ------------------------------ Void - Fleet Pack 3 (1.0) Commissioned from: Baldur (https://twitter.com/the__baldur) Distributed by Foozle (www.foozle.io) ------------------------------ License: (Creative Commons Zero, CC0) http://creativecommons.org/publicdomain/zero/1.0/ This content is free to use and modify for all projects, including commercial projects. Attribution not required. If you would like to support, consider a voluntary donation. ------------------------------ Donate: https://foozlecc.itch.io/ Patreon: https://www.patreon.com/bePatron?u=48464594 Follow on YouTube and Twitter for updates: https://www.youtube.com/c/FoozleCC http://twitter.com/FoozleCC",133,
more assets to ingest/foozle/Void - Main Ship/Void - Main Ship.zip,eb0fd960cb7e31c3a58b111d2cbf1de97508b86891913a57c22fdb173cc6a4ca,106513,license_evidence_found,1,Foozle_2DS0011_Void_MainShip\Readme.txt,"Foozle_2DS0011_Void_MainShip\Readme.txt: ------------------------------ Void - Main Ship (1.0) Commissioned from: Baldur (https://twitter.com/the__baldur) Distributed by Foozle (www.foozle.io) ------------------------------ License: (Creative Commons Zero, CC0) http://creativecommons.org/publicdomain/zero/1.0/ This content is free to use and modify for all projects, including commercial projects. Attribution not required. If you would like to support, consider a voluntary donation. ------------------------------ Donate: https://foozlecc.itch.io/ Patreon: https://www.patreon.com/bePatron?u=48464594 Follow on YouTube and Twitter for updates: https://www.youtube.com/c/FoozleCC http://twitter.com/FoozleCC",67,
