pack,raw_location,absolute_location,exists,file_count,promotion_recommendation,license_statuses,top_categories
pixel-avatar-frame-all-268d1c795b91,imports/raw/more_assets_to_ingest/pixel-avatar-frame-all-268d1c795b91,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\pixel-avatar-frame-all-268d1c795b91,True,100,hold_quarantine,no_license_evidence,image_uncategorized:100
pixel-gate-all-2dd2925080a7,imports/raw/more_assets_to_ingest/pixel-gate-all-2dd2925080a7,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\pixel-gate-all-2dd2925080a7,True,100,hold_quarantine,no_license_evidence,image_uncategorized:100
pixel-ui-icon-all-0110ed186696,imports/raw/more_assets_to_ingest/pixel-ui-icon-all-0110ed186696,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\pixel-ui-icon-all-0110ed186696,True,100,hold_quarantine,no_license_evidence,ui:100
90-fishing-pixel-art-icons-5bf6daa1f748,imports/raw/more_assets_to_ingest/90-fishing-pixel-art-icons-5bf6daa1f748,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\90-fishing-pixel-art-icons-5bf6daa1f748,True,90,hold_quarantine,no_license_evidence,"ui:89, sprite_or_character:1"
medal-icon-all-87736d39a2d4,imports/raw/more_assets_to_ingest/medal-icon-all-87736d39a2d4,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\medal-icon-all-87736d39a2d4,True,80,hold_quarantine,no_license_evidence,ui:80
treasure-mirror-all-ac156882c17d,imports/raw/more_assets_to_ingest/treasure-mirror-all-ac156882c17d,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\treasure-mirror-all-ac156882c17d,True,80,hold_quarantine,no_license_evidence,image_uncategorized:80
philippine-mythological-creature-sprites-f55b219b6145,imports/raw/more_assets_to_ingest/philippine-mythological-creature-sprites-f55b219b6145,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\philippine-mythological-creature-sprites-f55b219b6145,True,74,hold_quarantine,no_license_evidence,sprite_or_character:74
shader-cylinder-64x96-all-free-b444f61fcd48,imports/raw/more_assets_to_ingest/shader-cylinder-64x96-all-free-b444f61fcd48,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\shader-cylinder-64x96-all-free-b444f61fcd48,True,66,hold_quarantine,no_license_evidence,image_uncategorized:66
48x48-shader-slash-free-0a3af61216f8,imports/raw/more_assets_to_ingest/48x48-shader-slash-free-0a3af61216f8,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\48x48-shader-slash-free-0a3af61216f8,True,65,hold_quarantine,no_license_evidence,image_uncategorized:65
trap-and-weapon-c0c5bfe3897b,imports/raw/more_assets_to_ingest/trap-and-weapon-c0c5bfe3897b,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\trap-and-weapon-c0c5bfe3897b,True,64,hold_quarantine,no_license_evidence,"image_uncategorized:63, nested_archive:1"
environment-decor-all-eee509a21e3f,imports/raw/more_assets_to_ingest/environment-decor-all-eee509a21e3f,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\environment-decor-all-eee509a21e3f,True,60,hold_quarantine,no_license_evidence,image_uncategorized:60
pixel-tree-all-6a9f77ccfbc9,imports/raw/more_assets_to_ingest/pixel-tree-all-6a9f77ccfbc9,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\pixel-tree-all-6a9f77ccfbc9,True,60,hold_quarantine,no_license_evidence,image_uncategorized:60
retro-impact-effect-pack-all-2c0bb95415b8,imports/raw/more_assets_to_ingest/retro-impact-effect-pack-all-2c0bb95415b8,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\retro-impact-effect-pack-all-2c0bb95415b8,True,60,hold_quarantine,no_license_evidence,vfx:60
