"PluginKey","OutputFile","OutputPathRel","CandidateCount","UniqueHashCount","ConflictType","SelectedSourcePathRel","SelectedSha256","SelectionScore"
"AltMenuScreen","AltMenuScreen.js","third_party/rpgmaker-mz/steam-dlc/plugin-dropins-curated/js/plugins/AltMenuScreen.js","6","2","conflict","third_party/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/Menu Builder/Menu Builder_sample_en/js/plugins/AltMenuScreen.js","e1d360287e366595bfd5715dc901744d822d7ff37450706943156048059587b2","103"
"AltSaveScreen","AltSaveScreen.js","third_party/rpgmaker-mz/steam-dlc/plugin-dropins-curated/js/plugins/AltSaveScreen.js","6","2","conflict","third_party/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/Menu Builder/Menu Builder_sample_en/js/plugins/AltSaveScreen.js","dd74edc83627d0819f2ebd49d20a3e1ba2e734b21f4839f4a942024cc32642fc","103"
"ButtonPicture","ButtonPicture.js","third_party/rpgmaker-mz/steam-dlc/plugin-dropins-curated/js/plugins/ButtonPicture.js","6","2","conflict","third_party/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/Menu Builder/Menu Builder_sample_en/js/plugins/ButtonPicture.js","cf96eccf37adfa4379a9fcae0c3ed34a3b043c5b21401cf1e5d0ee4544e9102b","103"
"CameraMovement","CameraMovement.js","third_party/rpgmaker-mz/steam-dlc/plugin-dropins-curated/js/plugins/CameraMovement.js","2","1","duplicate-copy","third_party/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/CAMERA MOVEMENT PLUGIN/MZ Example - en/js/plugins/CameraMovement.js","e1666b0387422dc0aa6cf10f71b36d08aeceff90c758e7290a909d0cc10e0705","88"
"Synrec_MenuBuilder","Synrec_MenuBuilder.js","third_party/rpgmaker-mz/steam-dlc/plugin-dropins-curated/js/plugins/Synrec_MenuBuilder.js","2","1","duplicate-copy","third_party/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/Menu Builder/Menu Builder_sample_en/js/plugins/Synrec_MenuBuilder.js","6c45d1367a13e2d1a66088d2fd0bf3c5de7d876ae9abb1df749ae4c88899fa05","103"
"Synrec_Preloader","Synrec_Preloader.js","third_party/rpgmaker-mz/steam-dlc/plugin-dropins-curated/js/plugins/Synrec_Preloader.js","2","1","duplicate-copy","third_party/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/Menu Builder/Menu Builder_sample_en/js/plugins/Synrec_Preloader.js","30771ccbd3d9f1726e72bbe08bbb9c854c60609bbc7392fee63a2eef912164ac","103"
"TextPicture","TextPicture.js","third_party/rpgmaker-mz/steam-dlc/plugin-dropins-curated/js/plugins/TextPicture.js","6","2","conflict","third_party/rpgmaker-mz/steam-dlc/plugin-dropins/js/plugins/steam-dlc/Menu Builder/Menu Builder_sample_en/js/plugins/TextPicture.js","0f0e73b99a1ee7133cd527e26f2a12a62a03f301945c96d0b272332660dca9e1","103"
